hand,flop5,rule,selected_action,row_count,reach,reach_share_pct,solver_F_pct,solver_C_pct,solver_R_pct,mean_call_minus_fold_bb
Top pair,BBB,CALL with BDFD; otherwise FOLD.,FOLD,25,2293.3394,32.857629661833414,93.41353095940794,6.586469040592074,0.0,-0.008857534064617737
Top pair,BBB,CALL with BDFD; otherwise FOLD.,CALL,50,4686.2858,67.14237033816657,0.0,97.25128640793099,2.748713592069011,0.35317118155247806
Weak pair,Bxx,CALL when the flop has one Broadway card; FOLD when it has two.,FOLD,1140,132514.1725,45.76969513382984,94.41341983844815,5.586580201534369,0.0,-0.19892165664251513
Weak pair,Bxx,CALL when the flop has one Broadway card; FOLD when it has two.,CALL,1314,157009.65350000001,54.23030486617016,48.154586300018806,51.84537492935222,3.8517907308164334e-05,0.014776054575491308
Third pair,Axx,CALL on A + two low cards; on A + Broadway + low CALL only with BDFD.,FOLD,242,16318.60393,23.27255392282774,99.70098846726405,0.05235095354599982,0.2466613893980329,-0.3188471272465398
Third pair,Axx,CALL on A + two low cards; on A + Broadway + low CALL only with BDFD.,CALL,883,53800.919626,76.72744607717226,10.750457510982713,65.65658874650417,23.592953416360785,0.3866875750601322
Gutshot,ABB,CALL with any made pair inside the Gutshot; otherwise FOLD.,FOLD,268,22552.59867,40.348017015653205,86.87674055347388,5.059233124786945,8.064029063273354,-0.1513052808356376
Gutshot,ABB,CALL with any made pair inside the Gutshot; otherwise FOLD.,CALL,459,33342.58612,59.6519829843468,5.085416867329666,77.44183064265394,17.472755104163944,1.2377573012462386
Gutshot,BBB,"CALL with top, second or third pair inside the Gutshot; otherwise FOLD.",FOLD,200,20798.3501,56.28189972879454,90.78405159215056,5.215781846290298,4.000166679992083,-0.5256816460525972
Gutshot,BBB,"CALL with top, second or third pair inside the Gutshot; otherwise FOLD.",CALL,189,16155.53774,43.71810027120545,15.054254741864137,80.10178743577124,4.843959295799954,0.650178941915954
2 overcards + BDFD,[9-2]xx,CALL with Ax or two Broadway hole cards; otherwise FOLD.,FOLD,621,19990.878626,34.7686705548328,70.79577629783401,17.54932937910467,11.65489517420232,-0.047808798212806175
2 overcards + BDFD,[9-2]xx,CALL with Ax or two Broadway hole cards; otherwise FOLD.,CALL,1470,37505.937637,65.2313294451672,7.4977972479405395,71.33757643666041,21.164627035889044,0.46864664148283913
Air,Bxx,CALL only AK; otherwise FOLD.,FOLD,22356,1623265.51244,98.68905490686436,89.15476735660297,9.101183115103614,1.7440495610328817,-0.5064009520475146
Air,Bxx,CALL only AK; otherwise FOLD.,CALL,1008,21562.796,1.310945093135632,4.312780210932293,95.687219945348,0.0,0.7855100689923594
Air,[9-2]xx,CALL only AK; otherwise FOLD.,FOLD,8468,441030.858851,97.37415878992255,75.828355574977,21.449092226761294,2.722551912119589,-0.13547014963714235
Air,[9-2]xx,CALL only AK; otherwise FOLD.,CALL,624,11893.06299,2.6258412100774597,0.0001349752398814126,99.99986502476011,0.0,0.9087835745778294
